variable,display_name,group,analysis_level,definition,formula,numerator,denominator,unit,token_rule,sentence_rule,method,preprocessing,missing_rule,zero_rule,conditional_sample,source_columns,source_dataset,source_scripts,validation_rule,interpretation,limitation,aliases
spacy_sentence_count,Spacy Sentence Count,Source / Derived,Firm-year,spacy_sentence_count is retained from the validated extended panel without remeasurement.,spacy_sentence_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,spacy_sentence_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_past_tense_count,Ai Past Tense Count,Source / Derived,Firm-year,ai_past_tense_count is retained from the validated extended panel without remeasurement.,ai_past_tense_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_past_tense_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_present_tense_count,Ai Present Tense Count,Source / Derived,Firm-year,ai_present_tense_count is retained from the validated extended panel without remeasurement.,ai_present_tense_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_present_tense_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_future_tense_count,Ai Future Tense Count,Source / Derived,Firm-year,ai_future_tense_count is retained from the validated extended panel without remeasurement.,ai_future_tense_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_future_tense_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_finite_verb_count,Ai Finite Verb Count,Source / Derived,Firm-year,ai_finite_verb_count is retained from the validated extended panel without remeasurement.,ai_finite_verb_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_finite_verb_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_past_tense_share,Ai Past Tense Share,Source / Derived,Firm-year,ai_past_tense_share is retained from the validated extended panel without remeasurement.,ai_past_tense_share = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_past_tense_share,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_present_tense_share,Ai Present Tense Share,Source / Derived,Firm-year,ai_present_tense_share is retained from the validated extended panel without remeasurement.,ai_present_tense_share = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_present_tense_share,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_future_tense_share,Ai Future Tense Share,Source / Derived,Firm-year,ai_future_tense_share is retained from the validated extended panel without remeasurement.,ai_future_tense_share = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_future_tense_share,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_passive_voice_sentence_count,Ai Passive Voice Sentence Count,Source / Derived,Firm-year,ai_passive_voice_sentence_count is retained from the validated extended panel without remeasurement.,ai_passive_voice_sentence_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_passive_voice_sentence_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_passive_voice_sentence_share,Ai Passive Voice Sentence Share,Source / Derived,Firm-year,ai_passive_voice_sentence_share is retained from the validated extended panel without remeasurement.,ai_passive_voice_sentence_share = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_passive_voice_sentence_share,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_spacy_sentence_count,Ai Spacy Sentence Count,Source / Derived,Firm-year,ai_spacy_sentence_count is retained from the validated extended panel without remeasurement.,ai_spacy_sentence_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_spacy_sentence_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_character_count,Report Character Count,Source / Derived,Firm-year,report_character_count is retained from the validated extended panel without remeasurement.,report_character_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_character_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
average_word_length,Average Word Length,Source / Derived,Firm-year,average_word_length is retained from the validated extended panel without remeasurement.,average_word_length = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,average_word_length,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
lexical_density,Lexical Density,Source / Derived,Firm-year,lexical_density is retained from the validated extended panel without remeasurement.,lexical_density = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,lexical_density,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
root_type_token_ratio,Root Type Token Ratio,Source / Derived,Firm-year,root_type_token_ratio is retained from the validated extended panel without remeasurement.,root_type_token_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,root_type_token_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
type_token_ratio,Type Token Ratio,Source / Derived,Firm-year,type_token_ratio is retained from the validated extended panel without remeasurement.,type_token_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,type_token_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
percentage_expression_count,Percentage Expression Count,Source / Derived,Firm-year,percentage_expression_count is retained from the validated extended panel without remeasurement.,percentage_expression_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,percentage_expression_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
currency_expression_count,Currency Expression Count,Source / Derived,Firm-year,currency_expression_count is retained from the validated extended panel without remeasurement.,currency_expression_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,currency_expression_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_word_count,Ai Word Count,Source / Derived,Firm-year,ai_word_count is retained from the validated extended panel without remeasurement.,ai_word_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_word_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
log_ai_word_count,Log Ai Word Count,Source / Derived,Firm-year,log_ai_word_count is retained from the validated extended panel without remeasurement.,log_ai_word_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,log_ai_word_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_fog_index,Ai Fog Index,Source / Derived,Firm-year,ai_fog_index is retained from the validated extended panel without remeasurement.,ai_fog_index = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_fog_index,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_average_sentence_length,Ai Average Sentence Length,Source / Derived,Firm-year,ai_average_sentence_length is retained from the validated extended panel without remeasurement.,ai_average_sentence_length = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_average_sentence_length,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_complex_word_share,Ai Complex Word Share,Source / Derived,Firm-year,ai_complex_word_share is retained from the validated extended panel without remeasurement.,ai_complex_word_share = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_complex_word_share,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
tense_measurement_status,Tense Measurement Status,Source / Derived,Firm-year,tense_measurement_status is retained from the validated extended panel without remeasurement.,tense_measurement_status = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,tense_measurement_status,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
passive_voice_measurement_status,Passive Voice Measurement Status,Source / Derived,Firm-year,passive_voice_measurement_status is retained from the validated extended panel without remeasurement.,passive_voice_measurement_status = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,passive_voice_measurement_status,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
dependency_model,Dependency Model,Source / Derived,Firm-year,dependency_model is retained from the validated extended panel without remeasurement.,dependency_model = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,dependency_model,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
dependency_model_version,Dependency Model Version,Source / Derived,Firm-year,dependency_model_version is retained from the validated extended panel without remeasurement.,dependency_model_version = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,dependency_model_version,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
extended_measurement_version,Extended Measurement Version,Source / Derived,Firm-year,extended_measurement_version is retained from the validated extended panel without remeasurement.,extended_measurement_version = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,extended_measurement_version,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
log1p_ai_sentence_count,Log1P Ai Sentence Count,Source / Derived,Firm-year,log1p_ai_sentence_count is retained from the validated extended panel without remeasurement.,log1p_ai_sentence_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,log1p_ai_sentence_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_disclosure,AI 공시 여부,AI Communication,Firm-year,10-K 분석 본문에서 AI 관련 직접 문장이 한 개 이상 확인된 firm-year를 1로 표시하는 이진 변수이다. AI adoption 자체가 아니라 text-based AI communication proxy이다.,AI Disclosureᵢₜ = 1(ai_sentence_countᵢₜ ≥ 1),AI direct sentence count ≥ 1,해당 없음,Binary indicator,AI dictionary boundary matching in cleaned analysis text,A sentence is direct AI-related when the existing AI matcher finds a non-overlapping dictionary match.,Existing AI matcher and full-sample language pipeline,Existing cleaned sentence text and case-insensitive boundary matching,Source missing remains missing.,No AI direct sentence = 0.,All firm-year observations; AI-level measures are conditional on ai_disclosure = 1.,ai_disclosure|ai_disclosure_flag|ai_sentence_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/language_measurement_common.py|scripts/run_language_full_sample.py|scripts/build_extended_language_panel.py,"ai_disclosure equals 1 exactly when ai_sentence_count >= 1, subject to source missing.",Presence of AI-related communication in the filing.,Keyword matching does not establish actual AI implementation or adoption.,ai_disclosure_flag|ai_disclosure_binary
whole_report_concreteness,전체 보고서 구체성,Concreteness,Whole 10-K report,SMART stopword 제거 후 Brysbaert concreteness lexicon에 유효하게 매칭된 전체 보고서 token의 평균 점수이다. exact match를 우선하고 unique Porter stem fallback을 사용하며 ambiguous collision은 제외한다.,Concretenessᵢₜ = Σⱼ Ratingⱼ / Matched Eligible Token Countᵢₜ,Matched token concreteness ratings summed over valid matches,report_concreteness_matched_token_count,Brysbaert rating score,Alphabetic eligible tokens after SMART stopword removal,All included analysis sentences,Brysbaert lexicon; Porter stemming; exact then unique-stem fallback,"Lowercase, SMART removal, Porter stemming; collision stems excluded",Missing when no valid matched token denominator exists.,"No valid matched token is structural missing, not zero score.",All firm-year observations with valid report matches,whole_report_concreteness|report_concreteness_mean|report_concreteness_matched_token_count|report_concreteness_coverage,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/measure_brysbaert_concreteness.py|scripts/build_extended_language_panel.py,"Coverage is within [0, 1]; collision counts retained.",Higher score indicates more concrete matched vocabulary under the lexicon.,Lexicon coverage and contextual meaning may not capture document-level abstraction.,report_concreteness_mean
ai_concreteness,AI 직접 문장 구체성,Concreteness,AI direct sentences,AI 직접 문장에 포함된 유효 token 중 Brysbaert 점수가 매칭된 token의 평균이다. AI 문장이 없는 firm-year에는 유효한 AI 분모가 없으므로 결측이다.,AI Concretenessᵢₜ = Σⱼ AI Matched Ratingⱼ / AI Matched Token Countᵢₜ,AI matched token ratings,ai_concreteness_matched_token_count,Brysbaert rating score,AI sentence eligible alphabetic tokens after SMART removal,Existing AI direct sentence rows only,Brysbaert lexicon with exact and unique-stem fallback,Same as whole-report concreteness; collision excluded,AI sentence count zero or valid denominator zero => missing.,No AI sentence is not treated as zero concreteness.,AI disclosure firm-years only,ai_concreteness|ai_concreteness_mean|ai_concreteness_matched_token_count|ai_concreteness_coverage,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/measure_brysbaert_concreteness.py,"AI coverage within [0, 1]; N reflects valid AI-level observations.",Higher score indicates more concrete matched AI vocabulary.,Conditional sample and sparse AI text can make the mean unstable.,ai_concreteness_mean
fog_index,Gunning Fog Index,Readability,Whole 10-K report,정제된 분석 텍스트의 유효 단어·문장 수와 결정론적 음절 휴리스틱으로 복잡 단어 비율을 계산해 문장 길이와 결합한 가독성 지수이다.,Fogᵢₜ = 0.4 × [(Wordsᵢₜ / Sentencesᵢₜ) + 100 × (ComplexWordsᵢₜ / Wordsᵢₜ)],Eligible words; words with count_syllables(word) >= 3,Eligible non-empty sentences; eligible words,Index score,language_measurement_common.WORD_RE tokens containing alphabetic characters,Non-empty extracted analysis sentences,scripts/language_measurement_common.py readability(),HTML extraction output; punctuation excluded by WORD_RE; deterministic vowel-group syllable heuristic; terminal e rule,Missing when sentence or word denominator is zero.,Zero complex words with positive words = zero complex-word ratio.,All firm-year observations with valid report text,fog_index|report_fog_index,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/language_measurement_common.py|scripts/measure_report_level_controls.py,Finite numeric index; source status valid.,Higher values indicate greater surface complexity under this heuristic.,Does not directly measure information quality; financial/legal terminology can be treated as complex.,report_fog_index|ai_fog_index
lm_positive_share,Lm Positive Share,Source / Derived,Firm-year,lm_positive_share is retained from the validated extended panel without remeasurement.,lm_positive_share = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,lm_positive_share,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
lm_negative_share,Lm Negative Share,Source / Derived,Firm-year,lm_negative_share is retained from the validated extended panel without remeasurement.,lm_negative_share = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,lm_negative_share,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
lm_uncertainty_share,LM uncertainty 비율,Loughran–McDonald,Whole 10-K report,Loughran–McDonald financial dictionary의 Uncertainty 범주에 일치한 유효 token 수를 전체 유효 LM token 수로 나눈 상대 비중이다. 심리 상태가 아니라 금융공시 어휘의 비중이다.,LM Uncertainty Shareᵢₜ = Uncertainty Token Countᵢₜ / Eligible LM Token Countᵢₜ,report_uncertainty_count,report_total_eligible_word_count,Proportion,Existing LM eligible tokenization and normalization,All included report sentences,Loughran–McDonald Master Dictionary,Existing lowercase/token normalization; category active rules,Source missing or denominator zero remains missing.,Zero category matches with positive denominator = 0.,All valid report-level observations,lm_uncertainty_share|report_uncertainty_ratio|report_uncertainty_count|report_total_eligible_word_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/run_language_full_sample.py|scripts/build_extended_language_panel.py,"Non-missing proportion within [0, 1].",Relative use of LM uncertainty vocabulary.,"Dictionary matching ignores local syntax, negation and polysemy.",ai_lm_uncertainty_share
lm_litigious_share,Lm Litigious Share,Source / Derived,Firm-year,lm_litigious_share is retained from the validated extended panel without remeasurement.,lm_litigious_share = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,lm_litigious_share,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
lm_strong_modal_share,Lm Strong Modal Share,Source / Derived,Firm-year,lm_strong_modal_share is retained from the validated extended panel without remeasurement.,lm_strong_modal_share = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,lm_strong_modal_share,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
lm_weak_modal_share,Lm Weak Modal Share,Source / Derived,Firm-year,lm_weak_modal_share is retained from the validated extended panel without remeasurement.,lm_weak_modal_share = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,lm_weak_modal_share,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
lm_constraining_share,Lm Constraining Share,Source / Derived,Firm-year,lm_constraining_share is retained from the validated extended panel without remeasurement.,lm_constraining_share = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,lm_constraining_share,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_lm_positive_share,Ai Lm Positive Share,Source / Derived,Firm-year,ai_lm_positive_share is retained from the validated extended panel without remeasurement.,ai_lm_positive_share = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_lm_positive_share,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_lm_negative_share,Ai Lm Negative Share,Source / Derived,Firm-year,ai_lm_negative_share is retained from the validated extended panel without remeasurement.,ai_lm_negative_share = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_lm_negative_share,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_lm_uncertainty_share,Ai Lm Uncertainty Share,Source / Derived,Firm-year,ai_lm_uncertainty_share is retained from the validated extended panel without remeasurement.,ai_lm_uncertainty_share = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_lm_uncertainty_share,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
